#	Negocio	Giro	Contacto	Telefono	Fuente	Estado	Ultimo contacto	Proximo paso	Notas
1	Barbería El Corte	—	Barbería El Corte	+52 33 1234 5678	Instagram	Nuevo	2026-09-20	Contactar por WhatsApp	Quiere página web para su negocio
2	Carmen Beauty	—	Carmen López	+52 33 9876 5432	WhatsApp	Contactado	2026-09-21	Contactar por WhatsApp	Solicitó landing page para su salón
3	García & Asociados	—	García & Asociados	+52 33 5555 1234	Referido	Respondió	2026-09-22	Contactar por WhatsApp	Revisión de propuesta de catálogo digital
4	Rodríguez Fitness	—	Rodríguez Fitness	+52 33 1111 2222	Google	Reunión	2026-09-23	Contactar por WhatsApp	Reunión agendada para sistema a medida
5	Dulces María	—	Dulces María	+52 33 3333 4444	Facebook	Cotizado	2026-09-23	Contactar por WhatsApp	Cotización de tienda en línea enviada
6	Técnica Soluciones	—	Técnica Soluciones	+52 33 7777 8888	Email	Sin respuesta	2026-09-18	Contactar por WhatsApp	Contacto inicial, esperando respuesta
7	Laura's Boutique	—	Laura Martínez	+52 33 9999 0000	Instagram	Cerrado	2026-09-15	Contactar por WhatsApp	Cliente cerrado, página web entregada
8	Juan's Garage	—	Juan Pérez	+52 33 4444 5555	WhatsApp	Nuevo	2026-09-22	Contactar por WhatsApp	Quiere landing page
9	Farmacia Central	—	Farmacia Central	+52 33 6666 7777	Google	Nuevo	2026-09-23	Contactar por WhatsApp	Consulta para sistema empresarial
10	Mega Market	—	Mega Market	+52 33 8888 9999	Referido	Nuevo	2026-09-23	Contactar por WhatsApp	Interés en paquete completo web + catálogo
